url,price,rooms,area,locality,property_type,sub_property_type
https://www.immoweb.be/fr/annonce/maison/a-vendre/zwevegem/8550/20829018,265000,3,298,8550 Zwevegem,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/sint-katelijne-waver/2860/20829016,750000,5,276,2860 SINT-KATELIJNE-WAVER,House,Maison
https://www.immoweb.be/fr/annonce/rez-de-chaussee/a-vendre/koksijde/8670/20829017,459000,3,125,8670 Koksijde,Apartment,Rez-de-chaussée
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gent/9000/20829014,419000,1,85,9000 Gent,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/tessenderlo/3980/20829001,365000,3,262,3980 Tessenderlo,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/antwerpen/2060/20829010,299000,None,None,2060 Antwerpen,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/aartselaar/2630/20829012,224900,1,88,2630 AARTSELAAR,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/asse-relegem/1731/20829009,412000,3,150,1731 Asse Relegem,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/boortmeerbeek/3190/20828999,580000,3,121,3190 BOORTMEERBEEK,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/etterbeek/1040/20778957,330000,1,75,1040 ETTERBEEK,Apartment,Appartement
https://www.immoweb.be/fr/annonce/appartement/a-vendre/boortmeerbeek/3190/20829000,340000,1,69,3190 BOORTMEERBEEK,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/maaseik/3680/20828998,865000,3,None,3680 Maaseik,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/etterbeek/1040/20787636,330000,2,75,1040 ETTERBEEK,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/de-haan/8420/20828996,549000,3,180,8420 De Haan,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/vilvoorde/1800/20522701,299000,2,81,1800 VILVOORDE,Apartment,Appartement
https://www.immoweb.be/fr/annonce/duplex/a-vendre/geraardsbergen/9500/20828994,215000,2,119,9500 Geraardsbergen,Apartment,Duplex
https://www.immoweb.be/fr/annonce/maison/a-vendre/oudenburg/8460/20828995,259000,4,196,8460 Oudenburg,House,Maison
https://www.immoweb.be/fr/annonce/villa/a-vendre/sint-katelijne-waver/2861/20828997,479000,3,170,2861 SINT-KATELIJNE-WAVER,House,Villa
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bruxelles/1000/20468714,838000,2,133,1000 Bruxelles,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/beez-namur/5000/20828988,290000,4,200,5000 BEEZ Namur,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/de-panne/8660/20642076,79000,1,43,8660 De Panne,Apartment,Appartement
https://www.immoweb.be/fr/annonce/maison/a-vendre/ham-sur-sambre-jemeppe-sur-sambre/5190/20828990,165000,4,178,5190 HAM SUR SAMBRE Jemeppe-sur-Sambre,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/bachte-maria-leerne/9800/20828972,589986,4,221,9800 Bachte-Maria-Leerne,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/knokke-zoute/8300/20828955,2495000,3,182,8300 Knokke-Zoute,House,Maison
https://www.immoweb.be/fr/annonce/appartement/a-vendre/kortrijk/8500/20828962,245000,None,70,8500 Kortrijk,Apartment,Appartement
https://www.immoweb.be/fr/annonce/villa/a-vendre/grembergen/9200/20828959,785000,3,252,9200 Grembergen,House,Villa
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/tervuren/3080/20828961,1149000,3,170,3080 Tervuren,Apartment,Penthouse
https://www.immoweb.be/fr/annonce/maison/a-vendre/drongen/9031/20828956,615000,4,184,9031 Drongen,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/fexhele-haut-clocher/4347/20828949,209000,3,147,4347 Fexhele-Haut-Clocher,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/hombeek/2811/20828950,622549,4,203,2811 Hombeek,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/afsnee/9051/20828954,349000,3,166,9051 Afsnee,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/ieper/8900/20828946,169000,3,144,8900 Ieper,House,Maison
https://www.immoweb.be/fr/annonce/maison/a-vendre/ieper/8900/20828947,229000,3,107,8900 Ieper,House,Maison
